panel,analysis,route,budget,direction,threshold,participants,count,proportion,repeat,method,participant_macro_mae_seconds,gain_vs_video_mean_seconds,gain_vs_video_mean_ci95_low,gain_vs_video_mean_ci95_high,partition_sha256
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.1,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.105,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.105,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.11,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.11,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.115,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.115,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.12,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.12,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.125,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.125,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.13,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.13,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.135,24,3,0.125,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.135,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.14,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.14,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.145,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.145,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.15,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.15,24,0,0.0,,,,,,,
